2024-11-08,2024-11-11,NAP–AMS,€135,Transavia,Nonstop,2 hr 45 min
2024-11-08,2024-11-12,NAP–AMS,€112,Transavia,Nonstop,2 hr 45 min
2024-11-08,2024-11-11,NAP–AMS,€135,Transavia,Nonstop,2 hr 45 min
2024-11-08,2024-11-12,NAP–AMS,€112,Transavia,Nonstop,2 hr 45 min
2024-11-08,2024-11-13,NAP–AMS,€110,Transavia,Nonstop,2 hr 45 min
2024-11-15,2024-11-18,NAP–AMS,€135,Transavia,Nonstop,2 hr 45 min
2024-11-15,2024-11-19,NAP–AMS,€114,Transavia,Nonstop,2 hr 45 min
2024-11-15,2024-11-20,NAP–AMS,€129,Transavia,Nonstop,2 hr 45 min
2024-11-22,2024-11-27,NAP–AMS,€115,Transavia,Nonstop,2 hr 45 min
2024-11-29,2024-12-02,NAP–AMS,€126,easyJet,Nonstop,2 hr 50 min
2024-11-29,2024-12-03,NAP–AMS,€126,easyJet,Nonstop,2 hr 50 min
2024-11-29,2024-12-04,NAP–AMS,€126,easyJet,Nonstop,2 hr 50 min
2024-12-06,2024-12-09,NAP–AMS,€129,Transavia,Nonstop,2 hr 45 min
2024-12-06,2024-12-10,NAP–AMS,€129,Transavia,Nonstop,2 hr 45 min
2024-12-06,2024-12-11,NAP–AMS,€129,Transavia,Nonstop,2 hr 45 min
2024-12-13,2024-12-17,NAP–AMS,€112,easyJet,Nonstop,2 hr 50 min
2024-12-13,2024-12-18,NAP–AMS,€127,easyJet,Nonstop,2 hr 50 min
2024-05-03,2024-05-07,NAP–ATH,€148,easyJet,Nonstop,1 hr 40 min
2024-05-03,2024-05-08,NAP–ATH,€148,easyJet,Nonstop,1 hr 40 min
2024-05-10,2024-05-13,NAP–ATH,€130,easyJet,Nonstop,1 hr 40 min
2024-05-10,2024-05-14,NAP–ATH,€141,easyJet,Nonstop,1 hr 40 min
2024-05-10,2024-05-15,NAP–ATH,€140,easyJet,Nonstop,1 hr 40 min
2024-05-17,2024-05-20,NAP–ATH,€102,easyJet,Nonstop,1 hr 40 min
2024-05-17,2024-05-21,NAP–ATH,€92,Separate tickets booked together,Nonstop,1 hr 40 min
2024-05-17,2024-05-22,NAP–ATH,€101,easyJet,Nonstop,1 hr 40 min
2024-05-24,2024-05-27,NAP–ATH,€115,Separate tickets booked together,1 stop,8 hr 25 min
2024-05-24,2024-05-28,NAP–ATH,€177,Separate tickets booked together,1 stop,5 hr 35 min
2024-05-24,2024-05-29,NAP–ATH,€159,Separate tickets booked together,1 stop,5 hr 35 min
2024-05-24,2024-05-27,NAP–ATH,€115,Separate tickets booked together,1 stop,8 hr 25 min
2024-05-24,2024-05-28,NAP–ATH,€177,Separate tickets booked together,1 stop,5 hr 35 min
2024-05-24,2024-05-29,NAP–ATH,€159,Separate tickets booked together,1 stop,5 hr 35 min
2024-05-31,2024-06-03,NAP–ATH,€128,easyJet,Nonstop,1 hr 40 min
2024-05-31,2024-06-04,NAP–ATH,€133,easyJet,Nonstop,1 hr 40 min
2024-05-31,2024-06-05,NAP–ATH,€133,easyJet,Nonstop,1 hr 40 min
2024-06-07,2024-06-10,NAP–ATH,€86,easyJet,Nonstop,1 hr 40 min
2024-06-07,2024-06-11,NAP–ATH,€75,easyJet,Nonstop,1 hr 40 min
2024-06-07,2024-06-12,NAP–ATH,€79,easyJet,Nonstop,1 hr 40 min
2024-06-14,2024-06-17,NAP–ATH,€97,Separate tickets booked together,1 stop,4 hr 55 min
2024-06-14,2024-06-18,NAP–ATH,€97,Separate tickets booked together,1 stop,4 hr 55 min
2024-06-14,2024-06-19,NAP–ATH,€101,Separate tickets booked together,1 stop,4 hr 55 min
2024-06-21,2024-06-25,NAP–ATH,€111,easyJet,Nonstop,1 hr 40 min
2024-06-21,2024-06-26,NAP–ATH,€90,easyJet,Nonstop,1 hr 40 min
2024-06-28,2024-07-02,NAP–ATH,€132,easyJet,Nonstop,1 hr 45 min
2024-06-28,2024-07-03,NAP–ATH,€122,easyJet,Nonstop,1 hr 45 min
2024-07-05,2024-07-08,NAP–ATH,€139,Separate tickets booked together,1 stop,6 hr 55 min
2024-07-05,2024-07-10,NAP–ATH,€145,Separate tickets booked together,1 stop,4 hr 45 min
2024-07-05,2024-07-08,NAP–ATH,€139,Separate tickets booked together,1 stop,6 hr 55 min
